Foreign Cinema|1906|False|False|True|True|False|True
Kokkari Estiatorio|1935|False|False|False|False|True|False
Sociale|2131|False|False|False|False|True|False
A16|2910|False|False|False|False|True|False
Fringale|3128|False|False|False|False|True|False
Chapeau!|5881|False|False|False|False|True|False
Mamacita|6001|False|False|False|False|True|False
Spruce|13591|False|False|False|False|False|True
Mission Beach Café|13636|False|False|True|True|False|False
Marlowe|15424|True|False|False|False|False|False
1300 On Fillmore|16609|False|False|False|True|False|False
Bar Tartine|19651|True|False|False|True|True|True
Dosa|25303|False|False|False|False|True|False
Nopa|43240|False|True|True|True|False|True
Contigo|45052|False|False|False|False|True|False
Zero Zero|48964|False|False|False|False|True|False
Bistro Central Parc|49426|False|True|False|False|False|False
Bistro Aix|52243|False|False|False|False|True|False
Cotogna|52636|False|False|False|False|True|True
Rich Table|97309|False|False|False|False|True|False
Outerlands|102289|False|False|True|True|False|True
Coqueta|103693|False|False|False|False|True|False
Mason Pacific|106990|False|False|False|False|True|False
Hong Kong Lounge II|107080|False|False|False|False|True|False
Z & Y|112069|False|False|False|False|True|False
Stones Throw|114490|False|True|False|False|False|False
1601 Bar & Kitchen|116620|False|False|False|False|True|False
Trou Normand|141049|True|False|False|False|False|False
Marla Bakery|146014|False|False|False|True|False|False
Chino|148897|False|False|False|False|True|False
Causwells|149515|False|False|False|False|False|True
Yank Sing|149530|False|False|False|False|True|False
Yuzuki|151108|False|False|False|False|True|False
Plow|None|False|False|True|True|False|True
Boulette's Larder|None|False|False|False|True|False|True
B Patisserie|None|False|True|False|False|False|True
Tartine Bakery|None|False|True|False|False|False|True
Beretta|None|True|False|False|False|False|True
Huxley|None|True|False|False|False|False|True
Brenda's Meat and Three|None|False|False|False|False|False|True
Chubby Noodle|None|False|False|False|False|False|True
Crafstman and Wolves|None|False|False|False|False|False|True
Don Pisto's|None|False|False|False|False|False|True
Fiorella|None|False|False|False|False|False|True
Sessions at the Presidio|None|False|False|False|False|False|True
Wise Sons Jewish Deli|None|False|False|False|False|False|True
Anchor Oyster Bar|None|False|False|False|False|True|False
Delfina|None|False|False|False|False|True|False
Farmhouse Kitchen Thai|None|False|False|False|False|True|False
Izakaya Rintaro|None|False|False|False|False|True|False
Kappou Gomi|None|False|False|False|False|True|False
M. Y. China|None|False|False|False|False|True|False
Sichuan Home|None|False|False|False|False|True|False
Starbelly|None|False|False|False|False|True|False
Trestle|None|False|False|False|False|True|False
Mina Test Kitchen|None|True|False|False|True|False|False
Zazie|None|False|True|True|False|False|False
Brenda's French Soul Food|None|False|False|True|False|False|False
Dottie's True Blue Café|None|False|False|True|False|False|False
Just For You Café|None|False|False|True|False|False|False
Pork Store Café|None|False|False|True|False|False|False
aina|None|True|True|False|False|False|False
Wooly Pig Café|None|False|True|False|False|False|False
The Soapbox Café|None|False|True|False|False|False|False
Rusty's Southern|None|False|True|False|False|False|False
Rove Kitchen|None|False|True|False|False|False|False
Myriad Gastropub|None|False|True|False|False|False|False
Hollywood Café|None|False|True|False|False|False|False
Higher Grounds Coffee House|None|False|True|False|False|False|False
Emanuel Coffee|None|False|True|False|False|False|False
Eight AM|None|False|True|False|False|False|False
Chez Maman|None|False|True|False|False|False|False
Café St Jorge|None|False|True|False|False|False|False
Café Me|None|False|True|False|False|False|False
Café Golo|None|False|True|False|False|False|False
Aster|None|True|False|False|False|False|False
Belga|None|True|False|False|False|False|False
Brasserie Saint James|None|True|False|False|False|False|False
Buttermilk Southern Kitchen|None|True|False|False|False|False|False
Café Eugene|None|True|False|False|False|False|False
Hamlet|None|True|False|False|False|False|False
Locanda|None|True|False|False|False|False|False
Lord George|None|True|False|False|False|False|False
Reveille Coffe Co|None|True|False|False|False|False|False
Salumeria|None|True|False|False|False|False|False
Volta|None|True|False|False|False|False|False
